ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
187,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,掌骨或跖骨,,,14,,,,,,,,,,,,,,,,,,,
188,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,第1节趾骨,,,3,,,,,,,,,,,,,,,,,,,
189,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,阴茎骨,,,1,,,,,,,,,,,,,,,,,,,
190,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,一付,上颌骨,,,1,"左P3-M2,右P2-M1",,,,,,,,,,,,,,,,,,
191,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,一付,下颌骨,,,1,"左I1-M2,右C+P2-M1",,,,,,,,,,,,"40,79","34,46",,,"55,93",,"20,3"
192,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,肱骨,完整,,1,,28,"37,91","31,75","26,12",170,,,,,,,,,,,,,
193,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,尺骨,远端残,,1,,,,,,,,,,,,,,,,,,,
194,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,桡骨,完整,,1,,"38,8","18,91","30,39","32,97",187,,,,,,,,,,,,,
195,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,左,肱骨,近端,远端残,1,,"32,21","33,75",,,,,,,,,,,,,,,,
196,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,右,胫骨,近端,,1,,,,,,,,,,,,,,,,,,,
197,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,枢椎,,,1,,,,,,,,,,,,,,,,,,,
198,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,骶骨,,,1,,,,,,,,,,,,,,,,,,,
199,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,左,肩胛骨,,,1,,"30,33","18,83",,,,,,,,,,,,,,,,
200,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,右,肩胛骨,,,1,,,,,,,,,,,,,,,,,,,
201,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,跟骨,,,1,,"44,44","19,05","17,27",,,,,,,,,,,,,,,
202,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,左,距骨,,,1,,"26,36","17,83",,,,,,,,,,,,,,,,
203,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,阴茎骨,,,1,,,,,,,,,,,,,,,,,,,
204,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,右,胫骨,远端,,1,,,,,,,,,,,,,,,,,,,
205,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,寰椎,,,1,,,"26,69",,,,,,,,,,,,,,,,
206,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,下颌骨,,,1,"左P1+P3-M3,右P2-M3","20,6","8,44","8,01","6,64","4,26","3,89",,,"70,11","64,51","32,5","38,11","31,72","19,97","19,49",,"26,93","19,77"
207,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,右,上颌骨,,,1,P1-P3,,,,,,,,,,,,,,,,,,
208,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,掌骨,,,1,左右各一付,,,,,,,,,,,,,,,,,,
209,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,一付,跖骨,,,1,左右各一付,,,,,,,,,,,,,,,,,,
210,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,第1节趾骨,,,8,,,,,,,,,,,,,,,,,,,
211,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,第2节趾骨,,,4,,,,,,,,,,,,,,,,,,,
212,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,肋骨,碎块,,27,,,,,,,,,,,,,,,,,,,
213,2000,HD,T31,M54,09,XG6,,距地表6.02米,狗,,脊椎,,,11,,,,,,,,,,,,,,,,,,,
214,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,肱骨,完整,,1,,"27,35","38,24","32,52","25,3",164,,,,,,,,,,,,,
215,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,尺骨,完整,,1,,,,,,193,,,,,,,,,,,,,
216,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,尺骨,,,1,,,,,,,,,,,,,,,,,,,
217,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,桡骨,完整,,1,,"17,7","11,87","24,64","13,51",163,,,,,,,,,,,,,
218,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,桡骨,远端,,1,,,,,,,,,,,,,,,,,,,
219,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,桡骨,近端,,1,,,,,,,,,,,,,,,,,,,
