分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
3,郭家庄,82-92郭家庄M279,,,,填土/狗/整/1,,,,,,
3,徐家桥,徐家桥村M2,,,,腰坑/狗/整,,,,,,
4,徐家桥,徐家桥村M9,,男,丙,腰坑/狗/整,,,,,,
2,徐家桥,徐家桥村M16,,,,腰坑/狗/整,,,,,,
2,徐家桥,徐家桥村M17,,,,腰坑/狗/整,,,,,,
4,徐家桥,徐家桥村M21,,,,填土/狗/整,,,,,,
4,徐家桥,徐家桥村M22,,,,填土/狗/整,,,,,,
,琉璃阁,琉璃阁M151,,,乙,二层台/狗//1,,,,,,
,琉璃阁,琉璃阁M145,,,丙,二层台/狗//1,,,,,,
3,郭家庄,82-92郭家庄M180,,,丁,二层台/狗//1,,,,,,
4晚,郭家庄,82-92郭家庄M284,,,丁,二层台/狗//1,,,,,,
4早,郭家庄,82-92郭家庄M6,,,,二层台/牛/肢,,,,,,
4晚,郭家庄,82-92郭家庄M203,,,,二层台/牛/肩胛骨,,,,,,
4早,郭家庄,82-92郭家庄M220,,,,二层台/牛/腿,,,,,,
3,郭家庄,82-92郭家庄M232,,,,二层台/牛/腿,,,,,,
4晚,郭家庄,82-92郭家庄M264,,,,二层台/牛/骨,,,,,,
4晚,郭家庄,82-92郭家庄M208,,,,二层台/牛,,,,,,
3,郭家庄,82-92郭家庄M106,,,丁,二层台/鱼,,,,,,
,琉璃阁,琉璃阁M123,,,丁,棺椁/狗/整,,,,,,
,小屯,妇好墓M5,,女,甲,腰坑/狗/整/1,棺椁/狗/整/5,,,,,
,侯家庄,侯家庄HPKM1004,,,,角头/狗/整,,,,,,
4,刘家庄,83-86安阳刘家庄M14,,,,腰坑/狗/整,填土/狗/整,二层台/羊/腿,二层台/牛/腿,,,
,安阳,安阳殷墓M7,,,丁,腰坑/狗/整,填土/狗/整,,,,,
,梅园庄,87梅园庄南M30,,,丙,腰坑/狗/整,填土/狗/整,,,,,
,梅园庄,87梅园庄南M52,,,丙,腰坑/狗/整,填土/狗/整,,,,,
4早,郭家庄,82-92郭家庄M20,,,丁,腰坑/狗/整,填土/狗/整,,,,,
,郭家庄,82-92郭家庄M38,,,丁,腰坑/狗/整,填土/狗/整,,,,,
,郭家庄,82-92郭家庄M44,,,丁,腰坑/狗/整,填土/狗/整,,,,,
,郭家庄,82-92郭家庄M45,,,,腰坑/狗/整,填土/狗/整,,,,,
,郭家庄,82-92郭家庄M47,,,丁,腰坑/狗/整,填土/狗/整,,,,,
,郭家庄,82-92郭家庄M48,,,乙,腰坑/狗/整,填土/狗/整,,,,,
4早,郭家庄,82-92郭家庄M50,,,丙,腰坑/狗/整/1,填土/狗/整/1,,,,,
4早,郭家庄,82-92郭家庄M97,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,郭家庄,82-92郭家庄M277,,,丁,腰坑/狗/整/1,填土/狗/整/1,,,,,
4晚,郭家庄,82-92郭家庄M53,,,丙,腰坑/狗/整/1,二层台/狗/整/1,,,,,
,梅园庄,87梅园庄南M73,,,丙,腰坑/狗/整,填土/狗/整,二层台/狗/整,,,,
3,郭家庄,82-92郭家庄M174,,,丁,腰坑/狗/整/1,二层台/狗/整/1,,,,,
4早,郭家庄,82-92郭家庄M98,,,,腰坑/狗/整/1,二层台/牛/腿,,,,,
3,郭家庄,82-92郭家庄M001,,,丙,腰坑/狗/整/1,二层台/羊/腿/1,,,,,
4早,郭家庄,82-92郭家庄M31,,,丁,腰坑/狗/整/1,二层台/牛/腿,,,,,
3,郭家庄,82-92郭家庄M1,,,丙,腰坑/狗/整/1,二层台/牛/腿,,,,,
4晚,郭家庄,82-92郭家庄M75,,,,腰坑/狗/整/1,二层台/牛/腿,,,,,
4早,郭家庄,82-92郭家庄M209,,,,腰坑/狗/整/1,二层台/牛/骨,,,,,
4早,郭家庄,82-92郭家庄M217,,,丁,腰坑/狗/整/1,二层台/牛/骨,,,,,
2,郭家庄,82-92郭家庄M289,,,丁,腰坑/狗/整/1,二层台/牛/骨,,,,,
,梅园庄,87梅园庄南M91,,,丙,腰坑/狗/整/1,/牛,,,,,
2,郭家庄,82-92郭家庄M63,,,,腰坑/狗/整/1,二层台/狗/整/1,二层台/牛/肢,,,,
4,刘家庄,83-86安阳刘家庄M9,,合葬,丙,腰坑/狗/整,填土/狗/整,二层台/狗/头,二层台/羊/头,二层台/牛/头,二层台/牛/腿,二层台/人
3,郭家庄,82-92郭家庄M19,,,丁,填土/狗/整,二层台/牛/肢,,,,,
4早,郭家庄,82-92郭家庄M201,,,丁,填土/狗/整/1,二层台/牛/骨,,,,,
,梅园庄,87梅园庄南M86,,,丁,填土/马,棺椁/马,,,,,
2,郭家庄,82-92郭家庄M231,,,丙,二层台/牛/腿,二层台/狗/整/1,,,,,
,侯家庄,侯家庄北地78AHBM1,,,,/马,/牛,/猪,/狗,墓道/鹿,墓道/马,
2,武官村,武官村大墓50WGKM1,,,甲,墓道/鹿/整/1,墓道/马/整/16,墓道/狗/整/17,墓道/猴/整/3,墓道/兽/整/15,,
,琉璃阁,琉璃阁M147,,,甲,/狗/整/3,二层台/狗/整,,,,,
,琉璃阁,琉璃阁M150,,,甲,/狗/整,棺椁/狗/整,填土/狗/整,二层台/牛/肢,,,
,琉璃阁,琉璃阁M124,,,丁,/狗/整,,,,,,
,琉璃阁,琉璃阁M141,,,甲,/狗/整,,,,,,
,琉璃阁,琉璃阁M146,,,丙,/狗/整,,,,,,
,郭家庄,87郭家庄东南M9,,,丁,,,,,,,
,徐家桥,徐家桥村M19,,,,/牛/肢,,,,,,
,刘家庄,09-10刘家庄北M1,,,,腰坑/狗/整,,,,,,
,刘家庄,09-10刘家庄北M20,,/头南,,填土/狗/整/2/头北,腰坑/狗/整/1/头南背东,,,,,
,刘家庄,09-10刘家庄北M23,,,,腰坑/狗/整/1/头北背西,,,,,,
,刘家庄,09-10刘家庄北M33,,,,腰坑/狗/整/1/头南背西,台面四角/狗/整/4/头南头北,,,,,
,刘家庄,09-10刘家庄北M34,,男/头北,,腰坑/狗/整,,,,,,
,刘家庄,09-10刘家庄北M88,,,,腰坑/狗/整/1/头北背东,,,,,,
,刘家庄,09-10刘家庄北M89,,男/头北,,腰坑/狗/整/1/头南背西,,,,,,
,刘家庄,09-10刘家庄北M91,,男/头北,,腰坑/狗/整/1/头南背西,,,,,,
,刘家庄,09-10刘家庄北M92,,/头北,,腰坑/狗/整/1/头南背西,,,,,,
,刘家庄,09-10刘家庄北M94,,/东西向,,腰坑/狗/整/2/头东背南,,,,,,
,刘家庄,10-11刘家庄北M70,,/头北,,腰坑/狗/整/1/头南,,,,,,
,刘家庄,10-11刘家庄北M220,,/头东,,二层台/狗/头/1/头东,腰坑/狗/整/1/头东,,,,,
,大司空,大司空东南M646,,/头北,,填土/狗/整,二层台/牛/腿,,,,,
,刘家庄,05刘家庄北M121,,,,腰坑/狗/整,,,,,,
,刘家庄,08刘家庄北M508,,,,腰坑/狗/整,,,,,,
,刘家庄,06刘家庄北M44,,男/头东,,椁台/狗/整/1/头东背北,,,,,,
大司空1,三家庄,80三家庄M1,,,,填土/狗/整,腰坑/狗/整,,,,,
大司空1,三家庄,80三家庄M2,,,,腰坑/狗/整,,,,,,
大司空1,三家庄,80三家庄M3,,,,腰坑/狗/整,,,,,,
早于大司空1,三家庄,80三家庄M4,,,,腰坑/狗/整,二层台/狗/整,,,,,
,三家庄,80三家庄M6,,,,腰坑/狗/整,,,,,,
2晚,刘家庄,94刘家庄北M793,,弜众,,腰坑/狗/整/1/头东,二层台/牛/腿,填土/狗/整/3,角/狗/头,,,
,郭家庄,郭家庄86AQM6,,/头北,,腰坑/狗/整/1/头南,填土/狗/整/1/头南,二层台/牛/腿,二层台/羊/腿,,,
2,刘家庄,刘家庄南85AQMM59,,男/头东,,腰坑/狗/整/1/头西,,,,,,
2,刘家庄,刘家庄南85AQMM13,,合，老女/头东，青男/头西,,腰坑/狗/整/1/头西,,,,,,
3早,刘家庄,刘家庄南85AQMM14,,少年/头东,,腰坑/狗/整/1/头西,,,,,,
4,刘家庄,刘家庄南85AQMM54,,,,腰坑/狗/整/1/头东,,,,,,
4晚,刘家庄,刘家庄南85AQMM42,,,,二层台/牛/无头,,,,,,
3/4,王裕口,97王裕口M40,,,,腰坑/狗//1/头反,,,,,,
3,王裕口,97王裕口M45,,,,二层台/狗,,,,,,
3,王裕口,97王裕口M79,,,,腰坑/狗//1/头反,,,,,,
3,王裕口,97王裕口M80,,,,腰坑/狗//1/头反,,,,,,
3,王裕口,97王裕口M83,,,,腰坑/狗//1/头反,,,,,,
4,王裕口,97王裕口M84,,,,腰坑/狗//1/头反,,,,,,
4,王裕口,97王裕口M03,,/头西,,腰坑/狗//1/头西,,,,,,
3,王裕口,97王裕口M01,,,,盛//肢,,,,,,
2,王裕口,09王裕口M103,,成男/头南,,腰坑/狗/整只/1/头北,填土/狗/整/1,二层台/狗/整/1,二层台/牛/腿/1,二层台/羊/腿/1,,
3,王裕口,09王裕口M94,,/头东,,腰坑/狗/整只/1/头西,二层台/狗/整/2,填土/狗/肢/1,,,,
4,徐家桥,02徐家桥M120,,/头北,,腰坑/狗/整/1/头南,二层台/羊/腿/1,,,,,
,大司空,53大司空M28,,,,二层台/牛/腿,二层台/羊/腿,,,,,
,大司空,53大司空M146,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M157,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M162,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M165,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M170,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M174,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M225,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M233,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M256,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M300,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M304,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M305,,,,二层台/牛或羊/腿,,,,,,
,大司空,53大司空M312,,,,二层台/牛或羊/腿,,,,,,
